Title,Genre,Premiere,Runtime,IMDB Score,Language,Release Year,Decade,IMDB Category,Language Group,Genre Group
ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64,7.3,English/Spanish,2019.0,2010.0,High,English,Documentary
ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English,2019.0,2010.0,High,English,Documentary
Secrets of the Saqqara Tomb,Documentary,2020-10-28,114,7.3,English/Arabic,2020.0,2020.0,High,English,Documentary
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79,7.3,English/Mandarin,2016.0,2010.0,High,English,Documentary
Team Foxcatcher,Documentary,2016-04-29,90,7.3,English/Russian,2016.0,2010.0,High,English,Documentary
The Ballad of Buster Scruggs,Western,2018-11-16,132,7.3,English,2018.0,2010.0,High,English,Other
The Death and Life of Marsha P. Johnson,Documentary,2017-10-06,105,7.3,English,2017.0,2010.0,High,English,Documentary
The Fundamentals of Caring,Comedy-Drama,2016-06-24,97,7.3,English,2016.0,2010.0,High,English,Drama/Romance
The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83,7.3,English,2015.0,2010.0,High,English,Documentary
American Factory,Documentary,2019-08-21,110,7.4,English,2019.0,2010.0,High,English,Documentary
Miss Americana,Documentary,2020-01-31,85,7.4,English,2020.0,2020.0,High,English,Documentary
Shawn Mendes: Live in Concert,Concert Film,2020-11-25,87,7.4,English,2020.0,2020.0,High,English,Other
Shirkers,Documentary,2018-10-26,97,7.4,English,2018.0,2010.0,High,English,Documentary
The Black Godfather,Documentary,2019-06-07,118,7.4,English,2019.0,2010.0,High,English,Documentary
They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English,2018.0,2010.0,High,English,Documentary
Tig,Documentary,2015-07-17,80,7.4,English,2015.0,2010.0,High,English,Documentary
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,2017-11-22,108,7.5,English,2017.0,2010.0,High,English,Other
Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean,2020.0,2020.0,High,Non-English,Documentary
City of Joy,Documentary,2018-09-07,74,7.5,English,2018.0,2010.0,High,English,Documentary
Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English,2020.0,2020.0,High,English,Documentary
Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English,2019.0,2010.0,High,English,Documentary
Invader Zim: Enter the Florpus,Animation / Science Fiction,2019-08-16,71,7.5,English,2019.0,2010.0,High,English,Other
Joan Didion: The Center Will Not Hold,Documentary,,98,7.5,English,,,High,English,Documentary
John Mulaney & the Sack Lunch Bunch,Variety Show,2019-12-24,70,7.5,English,2019.0,2010.0,High,English,Other
Reversing Roe,Documentary,2018-09-13,99,7.5,English,2018.0,2010.0,High,English,Documentary
Athlete A,Documentary,2020-06-24,104,7.6,English,2020.0,2020.0,High,English,Documentary
Quincy,Documentary,2018-09-21,124,7.6,English,2018.0,2010.0,High,English,Documentary
Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English,2019.0,2010.0,High,English,Documentary
The Bleeding Edge,Documentary,2018-07-27,100,7.6,English,2018.0,2010.0,High,English,Documentary
The Social Dilemma,Documentary,2020-09-09,94,7.6,English,2020.0,2020.0,High,English,Documentary
The Two Popes,Drama,2019-12-20,125,7.6,English,2019.0,2010.0,High,English,Drama/Romance
"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English,2015.0,2010.0,High,English,Documentary
Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi,2020.0,2020.0,High,Non-English,Drama/Romance
Beasts of No Nation,War Drama,2015-10-16,136,7.7,English/Akan,2015.0,2010.0,High,English,Drama/Romance
Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English,2019.0,2010.0,High,English,Documentary
Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English,2020.0,2020.0,High,English,Documentary
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94,7.7,English,2017.0,2010.0,High,English,Documentary
Justin Timberlake + The Tennessee Kids,Concert Film,2016-10-12,90,7.7,English,2016.0,2010.0,High,English,Other
Road to Roma,Making-Of,2020-02-11,72,7.7,Spanish,2020.0,2020.0,High,Non-English,Other
Roma,Drama,2018-12-14,135,7.7,Spanish,2018.0,2010.0,High,Non-English,Drama/Romance
The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English,2020.0,2020.0,High,English,Drama/Romance
A Secret Love,Documentary,2020-04-29,82,7.9,English,2020.0,2020.0,High,English,Documentary
Icarus,Documentary,2017-08-04,120,7.9,English,2017.0,2010.0,High,English,Documentary
Marriage Story,Drama,2019-12-06,136,7.9,English,2019.0,2010.0,High,English,Drama/Romance
The Ivory Game,Documentary,2016-11-04,112,7.9,English,2016.0,2010.0,High,English,Documentary
Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8.0,English,2018.0,2010.0,High,English,Documentary
Chasing Coral ,Documentary,2017-07-14,89,8.1,English,2017.0,2010.0,High,English,Documentary
My Octopus Teacher,Documentary,2020-09-07,85,8.1,English,2020.0,2020.0,High,English,Documentary
Rising Phoenix,Documentary,2020-08-26,106,8.1,English,2020.0,2020.0,High,English,Documentary
13th,Documentary,2016-10-07,100,8.2,English,2016.0,2010.0,High,English,Documentary
Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English,2020.0,2020.0,High,English,Documentary
Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97,8.2,English,2019.0,2010.0,High,English,Comedy
Seaspiracy,Documentary,2021-03-24,89,8.2,English,2021.0,2020.0,High,English,Documentary
The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish,2020.0,2020.0,High,Non-English,Documentary
Cuba and the Cameraman ,Documentary,2017-11-24,114,8.3,English,2017.0,2010.0,High,English,Documentary
Ben Platt: Live from Radio City Music Hall,Concert Film,2020-05-20,85,8.4,English,2020.0,2020.0,High,English,Other
Taylor Swift: Reputation Stadium Tour,Concert Film,2018-12-31,125,8.4,English,2018.0,2010.0,High,English,Other
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian,2015.0,2010.0,High,English,Documentary
Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese,2020.0,2020.0,High,Non-English,Documentary
David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English,2020.0,2020.0,High,English,Documentary
